City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,buraydah,27.432,45.2288,288.14,49,27,4.72,SA,1674319293
200,saint anthony,51.4706,-55.3891,267.04,91,94,5.81,CA,1674319293
201,venado tuerto,-33.4934,-61.4885,310.22,19,2,4.15,AR,1674319296
202,bay roberts,45.8366,-52.954,277.17,94,99,4.26,CA,1674319297
203,port antonio,18.1025,-76.2175,299.38,69,25,3.92,JM,1674319298
204,araouane,18.6901,-3.767,301.95,9,0,2.15,ML,1674319299
205,opuwo,-16.8279,13.6673,295.08,60,99,8.13,NA,1674319300
206,valverde del camino,37.465,-6.784,291.19,62,58,3.25,ES,1674319302
207,hukuntsi,-25.1301,20.7381,304.87,26,87,3.0,BW,1674319303
208,coihaique,-49.5731,-73.4448,275.1,100,100,4.17,AR,1674319304
209,acajutla,12.98,-89.8643,299.86,72,8,2.34,SV,1674319305
210,penzance,50.6232,-5.947,281.84,70,97,8.45,GB,1674319305
211,new lenox,41.4841,-88.0012,272.5,85,100,3.09,US,1674319307
212,chara,57.9278,117.5059,230.61,78,65,1.83,RU,1674319307
213,qabis,33.6775,9.662,286.95,38,2,4.17,TN,1674319309
214,zhigalovo,55.2186,105.5765,227.53,100,97,0.81,RU,1674319310
215,saint paul,54.6739,-111.6331,271.21,100,80,1.03,CA,1674319311
216,ascension,-15.4572,-63.5468,307.42,37,7,3.63,BO,1674319312
217,ulaanbaatar,48.3391,106.0936,244.11,100,100,2.65,MN,1674319314
218,pemangkat,1.1351,109.3968,295.61,98,100,0.18,ID,1674319315
219,billings,45.7068,-108.3192,272.84,56,84,6.26,US,1674319317
220,tsaratanana,-16.3764,47.3572,295.61,99,100,3.09,MG,1674319317
221,quetta,30.1438,66.8238,272.69,66,3,1.87,PK,1674319318
222,winton,-45.5341,168.576,279.4,92,50,1.08,NZ,1674319319
223,iranshahr,27.096,60.3797,286.33,26,0,2.55,IR,1674319320
224,weinan,33.4474,109.8183,274.05,65,86,2.0,CN,1674319321
225,deputatskiy,69.5854,142.2989,234.49,98,40,1.73,RU,1674319322
226,te anau,-44.2124,167.0066,287.63,65,100,5.9,NZ,1674319323
227,fallon,38.3671,-117.2821,265.92,45,0,2.41,US,1674319325
228,raga,9.4389,25.508,300.98,17,59,1.78,SS,1674319326
229,lavras,-21.1623,-44.9124,295.36,85,98,5.47,BR,1674319327
230,proletarskiy,50.9731,35.4449,272.04,72,100,5.62,RU,1674319328
231,abonnema,2.2814,6.3344,301.31,72,81,2.91,ST,1674319329
232,aleksandrovsk-sakhalinskiy,50.3175,141.1698,251.14,76,89,7.55,RU,1674319330
233,abu dhabi,24.6848,54.206,294.2,65,0,6.59,AE,1674319331
234,biak,-1.487,135.7937,300.57,78,100,5.96,ID,1674319332
235,kyra,48.2984,112.6498,245.61,99,100,2.4,MN,1674319333
236,warrington,29.6089,-87.5272,294.15,63,100,8.95,US,1674319334
237,ileza,60.8644,44.0008,273.21,99,100,0.31,RU,1674319334
238,charters towers,-21.2198,144.7225,298.18,71,34,6.1,AU,1674319337
239,chivay,-15.8653,-71.6123,281.61,59,88,3.01,PE,1674319338
240,vera cruz,-12.5056,-41.2139,301.86,65,75,1.54,BR,1674319340
241,vredefort,-27.0535,27.1564,300.46,21,57,3.0,ZA,1674319340
242,novyy urengoy,68.215,76.1868,254.75,95,100,7.4,RU,1674319341
243,kaupanger,60.9227,7.2637,262.69,56,93,3.42,NO,1674319345
244,leghorn,43.6155,10.1141,280.43,41,100,2.22,IT,1674319346
245,cumana,10.0057,-64.2138,296.66,59,36,0.72,VE,1674319349
246,ereymentau,51.9496,73.5491,254.22,96,30,3.1,KZ,1674319350
247,warqla,30.4569,7.045,286.79,44,1,2.99,DZ,1674319350
248,bin qirdan,33.0424,10.9149,286.19,39,5,2.38,TN,1674319352
249,nyurba,63.9567,119.0331,224.71,99,74,1.68,RU,1674319352
250,benemerito de las americas,16.2477,-90.4898,300.22,62,69,1.97,MX,1674319353
251,agirish,62.7746,61.77,269.36,85,100,3.62,RU,1674319354
252,bustonkala,37.9173,68.9746,270.81,93,75,1.0,TJ,1674319354
253,songea,-10.258,35.9093,292.21,94,100,1.65,TZ,1674319357
254,santa rosa,-14.2664,-66.9447,305.42,49,11,4.02,BO,1674319357
255,guane,21.4878,-84.2735,298.27,73,48,5.6,CU,1674319359
256,hovd,43.886,101.8496,259.61,80,73,3.86,MN,1674319361
257,saint peter,44.5419,-93.9057,268.81,93,100,2.38,US,1674319363
258,javier,8.4822,126.0554,295.89,99,100,0.79,PH,1674319363
259,rio gallegos,-49.4849,-67.0932,287.36,89,100,2.99,AR,1674319365
260,korla,37.7519,90.1564,251.15,68,0,3.1,CN,1674319365
261,kemi,65.4662,24.4067,258.21,95,6,1.38,FI,1674319366
262,kurumkan,53.8885,110.361,237.91,96,99,0.63,RU,1674319367
263,katghora,22.7062,82.6023,290.85,53,22,1.06,IN,1674319368
264,melykut,46.1584,19.4474,274.9,92,100,5.11,HU,1674319368
265,kalangala,-0.3738,32.3702,299.19,72,100,3.0,UG,1674319369
266,zeya,53.5567,127.4801,229.25,99,60,1.06,RU,1674319370
267,ornskoldsvik,64.0839,18.1134,259.75,99,99,0.95,SE,1674319370
268,joao pinheiro,-17.2423,-45.8848,300.06,68,95,1.94,BR,1674319371
269,rafai,4.6518,24.0944,301.41,24,100,0.67,CF,1674319372
270,borlange,61.4714,13.8833,251.94,92,71,0.62,SE,1674319374
271,taft,34.8255,-119.6012,280.08,44,0,1.54,US,1674319375
272,markha,62.1554,129.6429,226.24,65,100,0.0,RU,1674319376
273,bien hoa,10.7986,107.1187,296.64,84,100,1.41,VN,1674319377
274,jaisalmer,26.6116,70.9092,287.53,43,0,4.88,IN,1674319378
275,markova,57.8597,106.4701,226.29,100,82,0.58,RU,1674319379
276,dubenskiy,51.1297,55.9311,256.85,80,4,2.12,RU,1674319379
277,santa paula,34.4044,-119.1123,285.6,42,0,0.89,US,1674319380
278,mehran,31.4199,45.0842,289.01,47,4,1.97,IQ,1674319381
279,dubti,12.5304,40.5231,302.7,29,1,3.63,ET,1674319381
280,kuopio,62.804,27.4512,270.6,99,58,1.09,FI,1674319382
281,toungoo,19.1431,96.1781,289.99,41,1,0.56,MM,1674319383
282,shieli,44.5436,67.1726,266.0,79,2,8.19,KZ,1674319383
283,burica,7.2347,-82.8451,300.18,69,7,3.83,PA,1674319384
284,guider,9.9397,13.8702,303.53,14,42,2.69,CM,1674319385
285,ouallam,14.1807,2.5032,303.68,13,2,1.21,NE,1674319385
286,nuevitas,22.8571,-76.4949,297.59,77,72,2.74,BS,1674319386
287,terrasini,39.6028,12.5592,283.11,64,78,7.83,IT,1674319387
288,teplodar,46.6783,30.2441,279.0,78,3,3.88,UA,1674319389
289,bar harbor,44.4369,-68.2892,271.27,75,100,3.58,US,1674319389
290,kirakira,-9.8727,162.1667,301.56,74,99,4.1,SB,1674319390
291,mayo,64.2349,-139.8801,259.22,97,100,1.59,CA,1674319391
292,kars,40.588,42.9375,268.15,74,0,2.06,TR,1674319391
293,dali,26.7527,100.0557,268.0,66,0,2.3,CN,1674319392
294,gardner,38.8208,-95.0945,276.08,85,100,2.06,US,1674319393
295,tra vinh,9.3867,106.9705,298.25,85,100,11.23,VN,1674319393
296,deer lake,48.7028,-56.7801,268.98,88,100,8.65,CA,1674319396
297,buriti dos lopes,-3.4536,-41.9294,301.51,67,73,2.15,BR,1674319396
298,kyren,50.6205,102.1158,240.96,96,100,2.19,MN,1674319397
299,honiara,-10.7627,159.8387,301.77,72,100,3.43,SB,1674319398
300,shirokiy,63.8592,147.6964,244.57,96,100,1.98,RU,1674319403
301,cordoba,-30.1784,-64.1725,302.2,45,47,3.49,AR,1674319404
302,talaya,60.9608,153.4193,236.94,99,100,3.62,RU,1674319405
303,ozernovskiy,51.3245,156.1699,262.81,81,100,10.24,RU,1674319406
304,luena,-12.3428,19.5503,292.3,84,98,1.41,AO,1674319406
305,haines junction,63.6872,-140.9936,257.68,99,100,1.28,CA,1674319407
306,rock springs,41.0519,-108.7967,263.48,82,86,2.73,US,1674319409
307,malanje,-9.8755,15.7848,293.87,82,86,3.18,AO,1674319409
308,monteagudo,-19.8444,-64.2099,309.23,14,12,5.93,BO,1674319411
309,santa isabel,27.7584,-113.212,287.1,37,0,5.02,MX,1674319412
310,boca del monte,19.2638,-96.7114,299.86,54,96,2.31,MX,1674319413
311,mataram,-8.5509,116.1029,298.68,80,80,1.27,ID,1674319415
312,kefalos,36.3931,26.9502,289.92,62,29,8.51,GR,1674319416
313,uaua,-9.664,-38.985,306.28,31,92,1.61,BR,1674319417
314,cumaribo,5.2399,-69.0725,305.69,39,29,5.66,CO,1674319418
315,altoona,40.4163,-78.0324,276.14,71,46,3.55,US,1674319418
316,grand centre,59.0669,-110.4823,263.23,96,100,2.39,CA,1674319420
317,talnakh,69.1842,92.0412,245.0,50,100,3.44,RU,1674319421
318,puerto madryn,-40.6954,-66.0056,303.23,28,35,8.23,AR,1674319423
319,winnemucca,41.4377,-118.033,267.83,73,24,0.92,US,1674319423
320,suhbaatar,49.3019,105.6577,244.56,88,100,3.01,MN,1674319425
321,masallatah,33.739,14.2442,287.32,57,56,5.29,LY,1674319425
322,usvyaty,55.2406,30.6655,271.41,92,98,3.41,BY,1674319427
323,zyryanka,66.4207,151.2552,235.81,100,100,0.65,RU,1674319427
324,muravlenko,62.5731,73.7358,260.74,95,100,9.7,RU,1674319429
325,toktogul,42.2812,73.2823,250.99,47,1,2.1,KG,1674319429
326,beruwala,6.2091,79.8661,300.24,72,95,2.24,LK,1674319430
327,tawnat,34.9799,-4.5819,282.1,79,59,2.19,MA,1674319431
328,aleksandrov gay,49.6925,49.6355,267.14,72,4,4.31,KZ,1674319431
329,yantarnyy,54.9365,19.8361,274.2,80,100,13.01,RU,1674319432
330,coremas,-6.9769,-37.9129,307.96,31,6,3.35,BR,1674319433
331,alyangula,-14.2385,136.7831,301.01,74,54,4.28,AU,1674319436
332,mizan teferi,6.1419,35.5473,292.8,38,85,1.15,ET,1674319438
333,atar,18.3268,-10.6794,303.81,13,0,1.9,MR,1674319439
334,carmen,19.8105,-92.3108,297.2,75,43,8.51,MX,1674319441
335,levelland,33.9513,-102.6973,278.82,36,0,8.97,US,1674319442
336,ponta delgada,36.1864,-25.9046,289.35,59,89,4.59,PT,1674319443
337,jaszkarajeno,47.1045,20.0709,276.17,92,100,6.17,HU,1674319444
338,lucapa,-8.6356,20.8173,293.7,90,100,0.61,AO,1674319444
339,bahia blanca,-39.0414,-63.6116,303.84,32,24,8.97,AR,1674319445
340,whyalla,-32.8239,136.1079,287.46,84,1,4.77,AU,1674319446
